Row:4,Test Case:NAME, Step Name: ACTION
Row:5,Test Case:B182F29 DTC Storage, Step Name: Disconnect F&R washer wire
Row:12,Test Case:B182F29 DTC Storage, Step Name: Wait 10ms
Row:16,Test Case:B182F29 DTC Storage, Step Name: wait 10ms
Row:19,Test Case:B182F29 DTC Storage, Step Name: Connect F&R washer wire
Row:22,Test Case:B182F29 DTC Storage, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:23,Test Case:B182F29 DTC Storage, Step Name: Check DTC status
Row:24,Test Case:B182F29 DTC Storage, Step Name: Wait 10ms
Row:25,Test Case:B182F29 DTC Storage, Step Name: Check OCC1 value
Row:26,Test Case:B182F29 DTC Storage, Step Name: Wait 10ms
Row:27,Test Case:B182F29 DTC Storage, Step Name: Check OCC2 value
Row:28,Test Case:B182F29 DTC Storage, Step Name: wait 10ms
Row:29,Test Case:B182F29 DTC Storage, Step Name: Check OCC4 value
Row:30,Test Case:B182F29 DTC Storage, Step Name: wait 10ms
Row:32,Test Case:B182F29 DTC Storage, Step Name: wait 10ms
Row:33,Test Case:B182F29 DTC Storage, Step Name: Check SI30 value
Row:37,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Check if the DTC is absent in response
Row:38,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Press and hold the EPB
Row:40,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Disconnect EPB
Row:43,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:46,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Connect EPB
Row:47,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Wait until EPB signal invalid DTC reached TestPass Limit
Row:48,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:50,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Release the EPB
Row:52,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Disconnect EPB
Row:53,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:54,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Check EPB stuck DTC status
Row:55,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Connect EPB
Row:56,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Wait 8s
Row:57,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:58,Test Case:EPB stuck & disconnect switch priority of action, Step Name: Check EPB stuck DTC status
Row:64,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Press and hold the Front washer button
Row:66,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Disconnect left stalk switches
Row:72,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Send diagnostic request "Report DTC By status Mask 0xFF"
Row:74,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Connect F&R washer buttons
Row:76,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Send diagnostic request "ReportDTCExtendedDataRecordByDTCNumber 0x10"
Row:77,Test Case:R&F washer buttons stuck & disconnect priority of action, Step Name: Check EPB stuck DTC status
